Year,Jurisdiction,All students,Average scale score
2013,Illinois,All students,239.0002
2013,Indiana,All students,248.5968
2013,Iowa,All students,245.7935
2013,Kansas,All students,246.1857
2013,Kentucky,All students,241.4699
2013,Louisiana,All students,231.3663
2013,Maine,All students,245.8470
2013,Maryland,All students,245.1694
2013,Massachusetts,All students,253.0338
2013,Michigan,All students,236.8198
2013,Minnesota,All students,253.4210
2013,Mississippi,All students,231.1057
2013,Missouri,All students,239.5484
2013,Montana,All students,243.6989
2013,Nebraska,All students,243.1579
2013,Nevada,All students,236.2629
2013,New Hampshire,All students,252.9935
2013,New Jersey,All students,246.8709
2013,New Mexico,All students,232.7814
2013,New York,All students,240.3498
2013,North Carolina,All students,244.8017
2013,North Dakota,All students,246.4248
2013,Ohio,All students,245.5498
2013,Oklahoma,All students,238.9219
2013,Oregon,All students,240.0993
2013,Pennsylvania,All students,244.0126
2013,Puerto Rico,All students,182.0507
2013,Rhode Island,All students,241.4167
2013,South Carolina,All students,236.6259
2013,South Dakota,All students,240.9811
2013,Tennessee,All students,239.7748
2013,Texas,All students,241.9263
2013,Utah,All students,242.8207
2013,Vermont,All students,247.8033
2013,Virginia,All students,246.1775
2013,Washington,All students,246.2883
2013,West Virginia,All students,237.4406
2013,Wisconsin,All students,244.7063
2013,Wyoming,All students,246.5224
2011,National,All students,240.6832
2011,Alabama,All students,231.2860
2011,Alaska,All students,236.3597
2011,Arizona,All students,235.1576
2011,Arkansas,All students,237.8102
2011,California,All students,234.1650
2011,Colorado,All students,244.4561
2011,Connecticut,All students,242.4134
2011,Delaware,All students,240.3598
2011,District of Columbia,All students,221.8083
2011,DoDEA,All students,240.8210
2011,Florida,All students,239.8265
2011,Georgia,All students,238.3665
2011,Hawaii,All students,238.8219
2011,Idaho,All students,240.3288
2011,Illinois,All students,238.8369
2011,Indiana,All students,243.8369
2011,Iowa,All students,242.6049
2011,Kansas,All students,246.2553
2011,Kentucky,All students,240.8307
2011,Louisiana,All students,230.7789
2011,Maine,All students,244.2570
2011,Maryland,All students,247.1066
2011,Massachusetts,All students,253.3965
2011,Michigan,All students,236.4022
2011,Minnesota,All students,249.1867
2011,Mississippi,All students,229.8680
2011,Missouri,All students,240.4948
2011,Montana,All students,243.7966
2011,Nebraska,All students,239.8033
2011,Nevada,All students,237.0319
2011,New Hampshire,All students,251.7788
2011,New Jersey,All students,248.0042
2011,New Mexico,All students,232.8404
2011,New York,All students,237.5199
2011,North Carolina,All students,244.5179
2011,North Dakota,All students,245.1564
2011,Ohio,All students,244.0386
2011,Oklahoma,All students,237.4291
2011,Oregon,All students,236.9145
2011,Pennsylvania,All students,245.6549
2011,Puerto Rico,All students,181.5079
2011,Rhode Island,All students,241.6248
2011,South Carolina,All students,237.3030
2011,South Dakota,All students,240.9798
2011,Tennessee,All students,232.9011
2011,Texas,All students,241.1018
2011,Utah,All students,242.5375
2011,Vermont,All students,246.6397
2011,Virginia,All students,245.3336
2011,Washington,All students,243.1829
2011,West Virginia,All students,234.6558
2011,Wisconsin,All students,244.6919
2011,Wyoming,All students,243.8744
2009,National,All students,239.6719
2009,Alabama,All students,227.9627
2009,Alaska,All students,237.2123
2009,Arizona,All students,229.9911
2009,Arkansas,All students,237.5406
2009,California,All students,231.6749
2009,Colorado,All students,243.1324
2009,Connecticut,All students,244.7177
2009,Delaware,All students,239.4906
2009,District of Columbia,All students,219.2601
2009,DoDEA,All students,240.2891
2009,Florida,All students,241.9449
2009,Georgia,All students,236.0296
2009,Hawaii,All students,235.6798
2009,Idaho,All students,241.0428
2009,Illinois,All students,238.2857
2009,Indiana,All students,242.6168
2009,Iowa,All students,242.5956
2009,Kansas,All students,245.3087
2009,Kentucky,All students,238.8359
2009,Louisiana,All students,229.4325
2009,Maine,All students,244.4557
2009,Maryland,All students,243.7950
2009,Massachusetts,All students,252.2548
2009,Michigan,All students,236.2797
2009,Minnesota,All students,249.4555
2009,Mississippi,All students,227.2623
2009,Missouri,All students,240.6844
2009,Montana,All students,244.4008
2009,Nebraska,All students,238.7485
2009,Nevada,All students,235.1523
2009,New Hampshire,All students,251.0718
2009,New Jersey,All students,246.5299
2009,New Mexico,All students,230.0296
2009,New York,All students,240.6411
2009,North Carolina,All students,243.7785
2009,North Dakota,All students,245.1895
2009,Ohio,All students,243.6876
2009,Oklahoma,All students,236.7810
2009,Oregon,All students,238.0323
2009,Pennsylvania,All students,243.5879
2009,Puerto Rico,All students,Ñ
2009,Rhode Island,All students,238.7669
2009,South Carolina,All students,235.6683
2009,South Dakota,All students,242.0978
2009,Tennessee,All students,231.8255
2009,Texas,All students,240.4646
2009,Utah,All students,240.3187
2009,Vermont,All students,247.7672
2009,Virginia,All students,243.0713
2009,Washington,All students,242.2571
2009,West Virginia,All students,232.9831
2009,Wisconsin,All students,243.5853
2009,Wyoming,All students,242.0092
2007,National,All students,239.7158
2007,Alabama,All students,228.5200
2007,Alaska,All students,237.2739
2007,Arizona,All students,231.9369
2007,Arkansas,All students,237.6707
2007,California,All students,230.0341
2007,Colorado,All students,240.2059
2007,Connecticut,All students,242.7556
2007,Delaware,All students,241.7949
2007,District of Columbia,All students,213.6989
2007,DoDEA,All students,240.0846
2007,Florida,All students,242.0203
2007,Georgia,All students,235.2090
2007,Hawaii,All students,234.2861
2007,Idaho,All students,240.9028
2007,Illinois,All students,237.2870
2007,Indiana,All students,245.1443
2007,Iowa,All students,242.8196
2007,Kansas,All students,247.9237
2007,Kentucky,All students,235.0879
2007,Louisiana,All students,230.0431
2007,Maine,All students,242.3706
2007,Maryland,All students,240.3282
2007,Massachusetts,All students,252.4303
2007,Michigan,All students,237.6056
2007,Minnesota,All students,246.9978
2007,Mississippi,All students,227.6124
2007,Missouri,All students,239.4111
2007,Montana,All students,243.6188
2007,Nebraska,All students,238.0408
2007,Nevada,All students,231.7816
2007,New Hampshire,All students,248.5715
2007,New Jersey,All students,248.6215
2007,New Mexico,All students,228.0643
2007,New York,All students,242.5430
2007,North Carolina,All students,241.6180
2007,North Dakota,All students,245.4159
2007,Ohio,All students,244.5327
2007,Oklahoma,All students,236.8022
2007,Oregon,All students,236.0397
2007,Pennsylvania,All students,244.0013
2007,Puerto Rico,All students,Ñ
2007,Rhode Island,All students,235.8779
2007,South Carolina,All students,237.1074
2007,South Dakota,All students,241.2134
2007,Tennessee,All students,232.7537
2007,Texas,All students,242.3398
2007,Utah,All students,239.4050
2007,Vermont,All students,246.3574
2007,Virginia,All students,243.5211
2007,Washington,All students,242.5422
2007,West Virginia,All students,236.3378
2007,Wisconsin,All students,244.1812
2007,Wyoming,All students,243.8669
2005,National,All students,237.8707
2005,Alabama,All students,225.0712
2005,Alaska,All students,235.5107
2005,Arizona,All students,229.8007
2005,Arkansas,All students,235.5455
2005,California,All students,230.3670
2005,Colorado,All students,239.2159
2005,Connecticut,All students,242.1207
2005,Delaware,All students,239.7169
2005,District of Columbia,All students,211.1223
2005,DoDEA,All students,238.7762
2005,Florida,All students,238.9306
2005,Georgia,All students,233.6357
2005,Hawaii,All students,230.0969
2005,Idaho,All students,241.6501
2005,Illinois,All students,233.0675
2005,Indiana,All students,240.0691
2005,Iowa,All students,239.8808
2005,Kansas,All students,245.7820
2005,Kentucky,All students,231.4923
2005,Louisiana,All students,230.2312
2005,Maine,All students,240.6915
2005,Maryland,All students,238.4217
2005,Massachusetts,All students,247.3370
2005,Michigan,All students,237.7060
2005,Minnesota,All students,245.7462
2005,Mississippi,All students,226.6988
2005,Missouri,All students,235.0355
2005,Montana,All students,240.5755
2005,Nebraska,All students,237.7062
2005,Nevada,All students,229.8716
2005,New Hampshire,All students,245.6259
2005,New Jersey,All students,243.9789
2005,New Mexico,All students,224.0272
2005,New York,All students,238.1740
2005,North Carolina,All students,241.2355
2005,North Dakota,All students,242.7370
2005,Ohio,All students,242.1059
2005,Oklahoma,All students,233.9553
2005,Oregon,All students,238.3249
2005,Pennsylvania,All students,240.5730
2005,Puerto Rico,All students,à
2005,Rhode Island,All students,233.4368
2005,South Carolina,All students,238.3027
2005,South Dakota,All students,241.5942
2005,Tennessee,All students,231.6881
2005,Texas,All students,241.9909
2005,Utah,All students,238.7974
2005,Vermont,All students,243.5289
2005,Virginia,All students,240.4976
2005,Washington,All students,241.6847
2005,West Virginia,All students,230.8433
2005,Wisconsin,All students,240.5686
2005,Wyoming,All students,242.9559
2003,National,All students,234.9282
2003,Alabama,All students,223.3446
2003,Alaska,All students,232.9917
2003,Arizona,All students,228.9114
2003,Arkansas,All students,229.0066
2003,California,All students,227.4550
2003,Colorado,All students,235.1931
2003,Connecticut,All students,240.6152
2003,Delaware,All students,235.8594
2003,District of Columbia,All students,204.9199
2003,DoDEA,All students,237.1937
2003,Florida,All students,233.7288
2003,Georgia,All students,230.2550
2003,Hawaii,All students,226.8346
2003,Idaho,All students,234.9438
2003,Illinois,All students,232.8568
2003,Indiana,All students,237.9683
2003,Iowa,All students,238.4767
2003,Kansas,All students,241.7474
2003,Kentucky,All students,228.7263
2003,Louisiana,All students,226.2477
2003,Maine,All students,237.6157
2003,Maryland,All students,233.0799
2003,Massachusetts,All students,241.6645
2003,Michigan,All students,235.6870
2003,Minnesota,All students,241.9123
2003,Mississippi,All students,222.8906
2003,Missouri,All students,234.8364
2003,Montana,All students,235.7549
2003,Nebraska,All students,236.2541
2003,Nevada,All students,227.5136
2003,New Hampshire,All students,243.1101
2003,New Jersey,All students,238.7765
2003,New Mexico,All students,222.5180
2003,New York,All students,235.9301
2003,North Carolina,All students,242.0401
2003,North Dakota,All students,237.5774
2003,Ohio,All students,237.7821
2003,Oklahoma,All students,229.0966
2003,Oregon,All students,236.3059
2003,Pennsylvania,All students,235.9470
2003,Puerto Rico,All students,à
2003,Rhode Island,All students,230.2980
2003,South Carolina,All students,235.7932
2003,South Dakota,All students,237.2648
2003,Tennessee,All students,227.7550
2003,Texas,All students,237.3059
2003,Utah,All students,234.7830
2003,Vermont,All students,241.9261
2003,Virginia,All students,239.2031
2003,Washington,All students,238.2928
2003,West Virginia,All students,230.7677
2003,Wisconsin,All students,236.7554
2003,Wyoming,All students,241.0857
,,,
,,,
,,,
,,,
,,,
