Year,State,Format,Revenue,Federal Revenue,State Revenue,Local Revenue
2006,Arizona,Total - Inflation Adjusted,10424719847.737656,1246134236.292693,4701309100.256974,4477276511.187989
2006,Arizona,Per Student - Inflation Adjusted,10378.632537740772,1240.6251746004898,4680.516918593302,4457.477512477279
2007,Arizona,Total - Inflation Adjusted,10946949714.434967,1202357350.3664653,5299420096.051432,4445172268.017069
2007,Arizona,Per Student - Inflation Adjusted,11287.080595102196,1239.7145354633728,5464.083882537528,4583.294781590498
2008,Arizona,Total - Inflation Adjusted,11165562483.683226,1202406523.3319476,5419101110.70747,4544054849.643808
2008,Arizona,Per Student - Inflation Adjusted,11308.824528424444,1217.8294707323178,5488.636848498233,4602.358209193892
2009,Arizona,Total - Inflation Adjusted,10451253969.098522,1251481677.890021,4561858908.649036,4637913382.5594635
2009,Arizona,Per Student - Inflation Adjusted,10645.840468458844,1274.7820052581728,4646.797231656827,4724.261231543846
2010,Arizona,Total - Inflation Adjusted,10365744466.547808,1875062438.0224733,3726358508.3650155,4764323520.160317
2010,Arizona,Per Student - Inflation Adjusted,10752.465427179119,1945.022724504989,3865.381789382082,4942.072782233158
2011,Arizona,Total - Inflation Adjusted,9700961827.17518,1449887182.818778,3554849961.3964367,4696224682.959966
2011,Arizona,Per Student - Inflation Adjusted,10248.53190555691,1531.7214431073007,3755.500780300866,4961.2980440777055
2012,Arizona,Total - Inflation Adjusted,8896993648.97046,1187391297.813481,3217171410.992359,4492430940.164619
2012,Arizona,Per Student - Inflation Adjusted,9437.394917041485,1259.5147468836997,3412.5792414421217,4765.300928715664
2013,Arizona,Total - Inflation Adjusted,9003782027.449661,1310171725.0138767,3262392706.045831,4431217596.389953
2013,Arizona,Per Student - Inflation Adjusted,9560.94157184147,1391.2421834811496,3464.2683100671497,4705.419959652241
2014,Arizona,Total - Inflation Adjusted,9080063168.6813,1207574387.7160208,3484057607.946542,4388431173.018737
2014,Arizona,Per Student - Inflation Adjusted,9619.352896805805,1279.2966294060573,3690.9857454923413,4649.070521907409
2015,Arizona,Total - Inflation Adjusted,8869390422.858877,1189053051.6968493,3513362101.3553143,4166975269.8067136
2015,Arizona,Per Student - Inflation Adjusted,9385.813440577764,1258.282964691294,3717.9309176836373,4409.599558202831
2016,Arizona,Total - Inflation Adjusted,9103448739.698668,1253636405.2035632,3715556593.5719585,4134255740.9231462
2016,Arizona,Per Student - Inflation Adjusted,9702.33811559947,1336.108676510339,3959.990790651699,4406.238648437433
2017,Arizona,Total - Inflation Adjusted,9118849976.727964,1249067752.093976,3653488931.9404345,4216293292.693553
2017,Arizona,Per Student - Inflation Adjusted,9740.832065059418,1334.2658692402576,3902.6873817225232,4503.878814096637
2018,Arizona,Total - Inflation Adjusted,9187608189.165825,1213334418.7386525,3711771271.197933,4262502499.229239
2018,Arizona,Per Student - Inflation Adjusted,9990.392194481556,1319.3482334669318,4036.0980415525637,4634.9459194620595
2019,Arizona,Total - Inflation Adjusted,9792583950.180227,1259089957.3677666,4149399204.086731,4384094788.725732
2019,Arizona,Per Student - Inflation Adjusted,10478.006435457804,1347.2141962074504,4439.826520402439,4690.955560317115
2020,Arizona,Total - Inflation Adjusted,10103394000,1231345000,4457403000,4414646000
2020,Arizona,Per Student - Inflation Adjusted,10790.4,1315.07,4760.49,4714.83
2002,Arkansas,Total - Inflation Adjusted,4528129877.861434,478063790.7604183,3371092735.3014784,678973351.7995372
2002,Arkansas,Per Student - Inflation Adjusted,10081.303703553544,1064.343864552976,7505.307949643533,1511.651889357034
2003,Arkansas,Total - Inflation Adjusted,4561196837.4593935,536817589.27109647,3382897297.3204155,641481950.8678812
2003,Arkansas,Per Student - Inflation Adjusted,10133.0259347887,1192.5794670097332,7515.350174300424,1425.0962934785416
2004,Arkansas,Total - Inflation Adjusted,4662805193.276372,584748832.0005819,3360197997.540446,717858363.7353437
2004,Arkansas,Per Student - Inflation Adjusted,10282.611103838733,1289.5132764858304,7410.049625448449,1583.048201904455
2005,Arkansas,Total - Inflation Adjusted,5320220634.066249,599916570.2816901,4020524867.902973,699779195.8815857
2005,Arkansas,Per Student - Inflation Adjusted,11524.584505529472,1299.5293508215962,8709.199280294732,1515.8558744131453
2006,Arkansas,Total - Inflation Adjusted,5475933609.252555,623374901.4052066,4020464081.104935,832094626.7424126
2006,Arkansas,Per Student - Inflation Adjusted,11586.604236348741,1319.0064490522334,8506.96115798903,1760.636629307479
2007,Arkansas,Total - Inflation Adjusted,5549186872.731638,609665277.7629439,4183470300.511483,756051294.4572096
2007,Arkansas,Per Student - Inflation Adjusted,11694.016528988986,1284.775584360547,8815.995696027181,1593.25785309046
2008,Arkansas,Total - Inflation Adjusted,5578348815.587149,593556202.1669091,4238044856.641267,746747756.7789723
2008,Arkansas,Per Student - Inflation Adjusted,11716.517807026039,1246.6821713851778,8901.398452847168,1568.4371827936923
2009,Arkansas,Total - Inflation Adjusted,5672485073.577234,640651130.7382106,4231558789.557824,800275153.2812002
2009,Arkansas,Per Student - Inflation Adjusted,11956.603740568455,1350.3762257884885,8919.374905140592,1686.8406238742687
2010,Arkansas,Total - Inflation Adjusted,5993131609.861711,934961593.2607846,4364342578.520206,693827438.0807196
2010,Arkansas,Per Student - Inflation Adjusted,12619.853407879456,1968.7724756673656,9190.085495139829,1461.0073060133736
2011,Arkansas,Total - Inflation Adjusted,6001540255.962754,962498733.5652696,4307510782.782381,731530739.6151037
2011,Arkansas,Per Student - Inflation Adjusted,12620.184573319044,2023.9652955965407,9057.933962551559,1538.2853151709458
2012,Arkansas,Total - Inflation Adjusted,5824428667.984671,753283703.9388537,4322491080.835935,748653883.2098824
2012,Arkansas,Per Student - Inflation Adjusted,12244.660429525362,1583.624809978752,9087.145304433901,1573.8903151127095
2013,Arkansas,Total - Inflation Adjusted,5615785370.424972,636093000.0725918,4277391199.1418633,702301171.210517
2013,Arkansas,Per Student - Inflation Adjusted,11755.494443777787,1331.5350816942148,8953.841539854466,1470.1178222291041
2014,Arkansas,Total - Inflation Adjusted,5666318757.621633,605153540.3338028,4386857903.879542,674307313.408287
2014,Arkansas,Per Student - Inflation Adjusted,11807.762605621965,1261.045831528284,9141.558613552124,1405.1581605415572
2015,Arkansas,Total - Inflation Adjusted,5753343190.385948,632024340.890088,4429860009.768174,691458839.727686
2015,Arkansas,Per Student - Inflation Adjusted,11994.082969812931,1317.5924526945744,9234.996021853878,1441.494495264477
2016,Arkansas,Total - Inflation Adjusted,5814175260.91868,641074722.3445152,4451654983.145822,721445555.428343
2016,Arkansas,Per Student - Inflation Adjusted,12133.667583526105,1337.8688739941035,9290.214331732113,1505.5951765574569
2017,Arkansas,Total - Inflation Adjusted,5790850208.148841,633186842.9494313,4386809324.249039,770854040.9503713
2017,Arkansas,Per Student - Inflation Adjusted,12089.558119174457,1321.9044879510532,9158.341727534498,1609.3119036889075
2018,Arkansas,Total - Inflation Adjusted,5767148618.06542,610555879.0822607,4384422481.686122,772170257.297038
2018,Arkansas,Per Student - Inflation Adjusted,12015.922018345109,1272.0994189572868,9134.998910073891,1608.8236893139324
2019,Arkansas,Total - Inflation Adjusted,5683748775.43225,615475921.4519821,4257943105.6881347,810329748.292133
2019,Arkansas,Per Student - Inflation Adjusted,11924.662489669574,1291.2813256208965,8933.29008343056,1700.091080618117
2020,Arkansas,Total - Inflation Adjusted,5635653000,600660000,4241285000,793708000
2020,Arkansas,Per Student - Inflation Adjusted,11828.05,1260.66,8901.57,1665.83
2002,California,Total - Inflation Adjusted,76580886863.02228,7341888972.740992,44771692241.6428,24467305648.63848
2002,California,Per Student - Inflation Adjusted,12471.36995727383,1195.6468270588123,7291.162680319706,3984.5604498953103
2003,California,Total - Inflation Adjusted,81903120332.62448,8188535625.618774,47497698628.49248,26216886078.51322
2003,California,Per Student - Inflation Adjusted,13230.316217444453,1322.7476338844451,7672.603153494557,4234.979558814703
2004,California,Total - Inflation Adjusted,80578166762.70642,9170814051.06001,43899866396.78052,27507486314.865887
2004,California,Per Student - Inflation Adjusted,12889.285290362113,1466.9696124375532,7022.222445801678,4400.093232122884
2005,California,Total - Inflation Adjusted,80809292935.56598,9594197409.406624,46854193819.908714,24360901706.250652
2005,California,Per Student - Inflation Adjusted,12860.20182842984,1526.8473393192487,7456.494375208659,3876.8601139019293
2006,California,Total - Inflation Adjusted,83032813188.55312,9597512250.134876,48417217627.59439,25018083310.823837
2006,California,Per Student - Inflation Adjusted,13272.907329020582,1534.170224720953,7739.559209920903,3999.1778943787235
2007,California,Total - Inflation Adjusted,88328026479.7403,9075606578.774153,53359327803.71805,25893092097.248074
2007,California,Per Student - Inflation Adjusted,14174.239682735457,1456.3857048458688,8562.721090002058,4155.132887887532
2008,California,Total - Inflation Adjusted,87617679106.14406,8783977441.015852,52488625200.73198,26345076464.396217
2008,California,Per Student - Inflation Adjusted,14157.54864979167,1419.3486912567787,8481.284171689877,4256.927940467866
2009,California,Total - Inflation Adjusted,85642060014.59315,11680427740.971256,48044033307.86389,25917598965.757996
2009,California,Per Student - Inflation Adjusted,13889.667937037344,1894.3621609381473,7791.909938813464,4203.383851520625
2010,California,Total - Inflation Adjusted,77126315161.18861,11531839445.208836,40560813717.90145,25033661998.078323
2010,California,Per Student - Inflation Adjusted,12558.680885395253,1877.7614352310313,6604.626577246192,4076.292872918031
2011,California,Total - Inflation Adjusted,79825383752.02249,11626690165.166708,43936874401.354195,24261819185.50158
2011,California,Per Student - Inflation Adjusted,12869.658264021697,1874.4859112251631,7083.616677989609,3911.5556748069243
2012,California,Total - Inflation Adjusted,75262711734.78543,9941762725.661217,41168968533.60088,24151980475.523335
2012,California,Per Student - Inflation Adjusted,12133.205551024264,1602.720700604473,6636.9130246733175,3893.5718257464728
2013,California,Total - Inflation Adjusted,73878831453.6204,8712859451.958845,39072247355.155365,26093724646.506203
2013,California,Per Student - Inflation Adjusted,11899.180640498933,1403.3281461706092,6293.106291061056,4202.7462032672665
2014,California,Total - Inflation Adjusted,76482457052.91312,8118223129.115617,42052984848.66737,26311249075.130108
2014,California,Per Student - Inflation Adjusted,12286.95826987646,1304.193038748622,6755.83883913715,4226.91544370162
2015,California,Total - Inflation Adjusted,81957970445.21152,8214152113.561347,46047979972.10987,27695838359.540306
2015,California,Per Student - Inflation Adjusted,13162.716860537388,1319.2230287943712,7395.456159614307,4448.03767212871
2016,California,Total - Inflation Adjusted,93470986230.16164,8324847520.208561,54970607819.33102,30175530890.622063
2016,California,Per Student - Inflation Adjusted,15034.710609436135,1339.0459385691358,8841.968703796094,4853.706765828476
2017,California,Total - Inflation Adjusted,94469204000.51793,8364124039.8558655,54117094695.34073,31987985265.321335
2017,California,Per Student - Inflation Adjusted,15248.421114950857,1350.0621455017629,8735.128742058467,5163.23022739063
2018,California,Total - Inflation Adjusted,93152977734.05028,8280423692.698226,51214971448.9031,33657582592.44896
2018,California,Per Student - Inflation Adjusted,14996.578799376539,1333.0552628243493,8245.037368572712,5418.496536382926
2019,California,Total - Inflation Adjusted,97563596451.99373,8292397517.916181,54963879824.95722,34307319109.120323
2019,California,Per Student - Inflation Adjusted,17138.091606108672,1456.6520485192825,9654.992745608393,6026.446811980997
2020,California,Total - Inflation Adjusted,95534088000,7995360000,52444323000,35094405000
2020,California,Per Student - Inflation Adjusted,16934.19,1417.24,9296.18,6220.77
2002,Colorado,Total - Inflation Adjusted,8398770242.878152,489308222.4005035,3552722002.099116,4356740018.378532
2002,Colorado,Per Student - Inflation Adjusted,11321.700105098838,659.590533524866,4789.143070357502,5872.96650121647
2003,Colorado,Total - Inflation Adjusted,8847291385.324278,565459389.7582793,3836264841.999219,4445567153.56678
2003,Colorado,Per Student - Inflation Adjusted,11772.639028186784,752.4265415079535,5104.717105376465,5915.495381302368
2004,Colorado,Total - Inflation Adjusted,8960694800.830284,601477032.6810508,3918698166.2470236,4440519601.90221
2004,Colorado,Per Student - Inflation Adjusted,11844.080327756068,795.0215265965202,5179.659731563992,5869.399069595557
2005,Colorado,Total - Inflation Adjusted,9208470804.45879,633782092.3135107,3965670881.9314027,4609017830.213876
2005,Colorado,Per Student - Inflation Adjusted,12022.220059520083,827.4466041340636,5177.422850312989,6017.35060507303
2006,Colorado,Total - Inflation Adjusted,9358967292.448544,673337952.6911844,3993158015.93337,4692471323.823989
2006,Colorado,Per Student - Inflation Adjusted,12007.155142992977,863.8622559604804,5123.052343727549,6020.240543304947
2007,Colorado,Total - Inflation Adjusted,9624506874.543142,667853902.1640079,4168324746.286352,4788328226.092782
2007,Colorado,Per Student - Inflation Adjusted,12170.07548165958,844.4881720452497,5270.794040624754,6054.780664500372
2008,Colorado,Total - Inflation Adjusted,9738050203.956131,661098745.8097919,4130169300.1986446,4946782157.947695
2008,Colorado,Per Student - Inflation Adjusted,12215.825094693031,829.3146089926494,5181.065114959089,6205.457524364147
2009,Colorado,Total - Inflation Adjusted,9903438581.997152,671847680.1589028,4355648614.287871,4875942287.550378
2009,Colorado,Per Student - Inflation Adjusted,12190.122402149578,826.9818350927825,5361.364575810363,6001.787977011539
2010,Colorado,Total - Inflation Adjusted,10375175527.154318,847715380.9447433,4531413354.27581,4996046791.933762
2010,Colorado,Per Student - Inflation Adjusted,12563.98630207171,1026.556585599762,5487.391281561193,6050.038434910752
2011,Colorado,Total - Inflation Adjusted,10124660932.690575,1128064259.7209918,4066252406.4232173,4930344266.546364
2011,Colorado,Per Student - Inflation Adjusted,12127.777787835317,1351.2498755701656,4870.742213355681,5905.797336980506
2012,Colorado,Total - Inflation Adjusted,9689594084.496613,797792166.1213734,4185976379.024053,4705825539.351185
2012,Colorado,Per Student - Inflation Adjusted,11492.549161263174,946.2358639067295,4964.863726486298,5581.438264836619
2013,Colorado,Total - Inflation Adjusted,9764678436.354248,774153164.4838333,4107035830.2892194,4883489441.581194
2013,Colorado,Per Student - Inflation Adjusted,11473.503472544966,909.6271330150673,4825.768129064119,5738.108210465781
2014,Colorado,Total - Inflation Adjusted,9982139782.70685,745830296.2372706,4337404482.155547,4898905004.314032
2014,Colorado,Per Student - Inflation Adjusted,11536.967623793027,862.0025915468383,5013.002598845052,5661.962433401138
2015,Colorado,Total - Inflation Adjusted,10439887402.733421,777517385.1227684,4733589593.978815,4928780423.63184
2015,Colorado,Per Student - Inflation Adjusted,11967.961140694184,891.3163781783294,5426.437684543528,5650.196207464994
2016,Colorado,Total - Inflation Adjusted,10867289724.26675,770938421.1190695,4713678196.554123,5382673106.59356
2016,Colorado,Per Student - Inflation Adjusted,12339.686280429507,875.3904835820035,5352.328597824373,6111.96719902313
2017,Colorado,Total - Inflation Adjusted,11008572287.877817,739529707.0779759,4748785765.46889,5520256815.330952
2017,Colorado,Per Student - Inflation Adjusted,12432.157088078347,835.1671485428508,5362.8781968917465,6234.111742643751
2018,Colorado,Total - Inflation Adjusted,11409769600.206945,719514320.3895917,4705905198.975141,5984350080.842214
2018,Colorado,Per Student - Inflation Adjusted,12827.031851629075,808.890994946228,5290.446753807961,6727.694102874886
2019,Colorado,Total - Inflation Adjusted,12428603838.052538,723966998.6932245,5341759804.3333645,6362877035.025949
2019,Colorado,Per Student - Inflation Adjusted,13966.517022002809,813.545939143514,6002.746959623854,7150.213964704641
2020,Colorado,Total - Inflation Adjusted,12918630000,834034000,5353295000,6731301000
2020,Colorado,Per Student - Inflation Adjusted,14495.98,935.87,6006.93,7553.19
2002,Connecticut,Total - Inflation Adjusted,9427484839.8971,416767414.9173494,3595613147.9839816,5415104276.99577
2002,Connecticut,Per Student - Inflation Adjusted,17158.046754460604,758.5190055503238,6544.022398452942,9855.505350457343
2003,Connecticut,Total - Inflation Adjusted,9660511109.121227,495920511.68121904,3506615690.1607947,5657974907.279213
2003,Connecticut,Per Student - Inflation Adjusted,17430.821628080026,894.8019477378973,6327.122362060843,10208.897318281288
2004,Connecticut,Total - Inflation Adjusted,9882169691.38399,495955692.08587384,3484602671.8514485,5901611327.446668
2004,Connecticut,Per Student - Inflation Adjusted,17696.37933599989,888.1249325819415,6240.015597356381,10568.238806061565
2005,Connecticut,Total - Inflation Adjusted,10414775354.518778,538914611.0824203,3873284868.17423,6002575875.262129
2005,Connecticut,Per Student - Inflation Adjusted,18641.81973377673,964.618475691184,6932.943657929055,10744.244179564424
2006,Connecticut,Total - Inflation Adjusted,10717075147.445719,501867760.91787905,4071671197.4960537,6143536189.031786
2006,Connecticut,Per Student - Inflation Adjusted,19260.00297768441,901.9213370876015,7317.327134215669,11040.75450638114
2007,Connecticut,Total - Inflation Adjusted,11038949881.120415,487230311.45033115,4158441566.3030586,6393278003.3670225
2007,Connecticut,Per Student - Inflation Adjusted,19854.36451019538,876.3145072803165,7479.264407175961,11498.785595739106
2008,Connecticut,Total - Inflation Adjusted,11122716101.6775,469849336.5960582,4278989196.6705084,6373877568.410933
2008,Connecticut,Per Student - Inflation Adjusted,20175.31777643799,852.2484953161314,7761.595240830671,11561.47404029119
2009,Connecticut,Total - Inflation Adjusted,11388782912.926868,483046709.61576283,4322778852.058232,6582957351.252873
2009,Connecticut,Per Student - Inflation Adjusted,20823.301208063458,883.2070592100664,7903.785070322893,12036.309078530496
2010,Connecticut,Total - Inflation Adjusted,11328005811.257158,971559473.1754216,3843639076.1615133,6512807261.920223
2010,Connecticut,Per Student - Inflation Adjusted,20856.815456071006,1788.803721606837,7076.8086614505055,11991.203073013668
2011,Connecticut,Total - Inflation Adjusted,11159066651.951653,926572008.2807443,3707308691.9527316,6525185951.718178
2011,Connecticut,Per Student - Inflation Adjusted,21049.60450963452,1747.817146082055,6993.1772279779325,12308.610135574532
2012,Connecticut,Total - Inflation Adjusted,11155947061.725042,576114766.7735279,4223341689.224731,6356490605.726784
2012,Connecticut,Per Student - Inflation Adjusted,21353.094995089064,1102.711367909085,8083.712216918218,12166.671410261759
2013,Connecticut,Total - Inflation Adjusted,11237584813.728258,483152758.50651675,4303407707.050848,6451024348.170895
2013,Connecticut,Per Student - Inflation Adjusted,21702.052720307234,933.0652280926946,8310.750467181371,12458.23702503317
2014,Connecticut,Total - Inflation Adjusted,11513566750.737267,460477374.433484,4534332452.465859,6518756923.837923
2014,Connecticut,Per Student - Inflation Adjusted,22527.823640542745,900.9894489210134,8872.022684966103,12754.81150665563
2015,Connecticut,Total - Inflation Adjusted,11802416358.636932,482729880.2434144,4732525371.311014,6587161107.082505
2015,Connecticut,Per Student - Inflation Adjusted,23354.197952024813,955.2132202757049,9364.55072823641,13034.434003512699
2016,Connecticut,Total - Inflation Adjusted,12062679790.894072,506024380.3095195,4763552258.387038,6793103152.197515
2016,Connecticut,Per Student - Inflation Adjusted,24149.80148967006,1013.0746425881042,9536.760765792369,13599.966081289585
