Year,State,Format,Total Salary,Total Benefits
2013,Alabama,Total - Inflation Adjusted,4176032556.572054,1559279315.7001667
2013,Alabama,Per Student - Inflation Adjusted,5608.820653747256,2094.2627307597513
2013,Alabama,Percent,0.7281266959965821,0.27187330400341797
2014,Alabama,Total - Inflation Adjusted,4156877048.8703723,1606684412.2607863
2014,Alabama,Per Student - Inflation Adjusted,5616.789792703062,2170.9581360404104
2014,Alabama,Percent,0.7212341544815912,0.2787658455184087
2015,Alabama,Total - Inflation Adjusted,4106140649.624757,1656221800.694535
2015,Alabama,Per Student - Inflation Adjusted,5586.7885381975575,2253.445299412024
2015,Alabama,Percent,0.7125793252999353,0.28742067470006477
2016,Alabama,Total - Inflation Adjusted,4141495227.9974747,1674530939.96855
2016,Alabama,Per Student - Inflation Adjusted,5568.109371570247,2251.3573742799126
2016,Alabama,Percent,0.7120830041927447,0.28791699580725527
2017,Alabama,Total - Inflation Adjusted,4224746950.8753815,1704786081.627321
2017,Alabama,Per Student - Inflation Adjusted,5671.329645098786,2288.519978350549
2017,Alabama,Percent,0.712492058693084,0.287507941306916
2018,Alabama,Total - Inflation Adjusted,4168518106.1805935,1684091040.4593933
2018,Alabama,Per Student - Inflation Adjusted,5616.439726596583,2269.052515631832
2018,Alabama,Percent,0.7122497307802049,0.28775026921979513
2019,Alabama,Total - Inflation Adjusted,4228931357.575505,1688471753.0887127
2019,Alabama,Per Student - Inflation Adjusted,5721.589302663437,2284.4402478448433
2019,Alabama,Percent,0.714660027991052,0.285339972008948
2020,Alabama,Total - Inflation Adjusted,4306428000,1694793000
2020,Alabama,Per Student - Inflation Adjusted,5795.91,2280.98
2020,Alabama,Percent,0.7175917958521164,0.2824082041478837
2002,Alaska,Total - Inflation Adjusted,1099181819.8308358,314682357.8700313
2002,Alaska,Per Student - Inflation Adjusted,8263.89915521723,2365.850365881038
2002,Alaska,Percent,0.7774312215743915,0.22256877842560846
2003,Alaska,Total - Inflation Adjusted,1113341202.56998,319520251.4984174
2003,Alaska,Per Student - Inflation Adjusted,8351.955803862165,2396.9423108970864
2003,Alaska,Percent,0.7770057651206259,0.22299423487937414
2004,Alaska,Total - Inflation Adjusted,1091734547.491915,332388144.8488583
2004,Alaska,Per Student - Inflation Adjusted,8199.099263197797,2496.291009568135
2004,Alaska,Percent,0.7666012229656983,0.2333987770343017
2005,Alaska,Total - Inflation Adjusted,1080711965.3416796,388821393.47939485
2005,Alaska,Per Student - Inflation Adjusted,8152.13734461398,2932.9898735524253
2005,Alaska,Percent,0.7354121593890403,0.26458784061095986
2006,Alaska,Total - Inflation Adjusted,1086589999.1967342,448586340.5468794
2006,Alaska,Per Student - Inflation Adjusted,8176.430388526547,3375.541765165577
2006,Alaska,Percent,0.707795195464809,0.29220480453519104
2007,Alaska,Total - Inflation Adjusted,1078491774.529425,511141027.4665379
2007,Alaska,Per Student - Inflation Adjusted,8158.217822531257,3866.515294139982
2007,Alaska,Percent,0.6784531301755549,0.3215468698244452
2008,Alaska,Total - Inflation Adjusted,1081419638.5555828,752333561.8421798
2008,Alaska,Per Student - Inflation Adjusted,8278.877736697152,5759.54110189008
2008,Alaska,Percent,0.5897300708781462,0.4102699291218537
2009,Alaska,Total - Inflation Adjusted,1132845376.2836921,774031122.002751
2009,Alaska,Per Student - Inflation Adjusted,8698.405339626574,5943.297443289018
2009,Alaska,Percent,0.5940842720681471,0.4059157279318528
2010,Alaska,Total - Inflation Adjusted,1204100514.9913883,902154653.1368839
2010,Alaska,Per Student - Inflation Adjusted,9173.05356464607,6872.7696948176135
2010,Alaska,Percent,0.5716785867771469,0.4283214132228532
2011,Alaska,Total - Inflation Adjusted,1221812413.3278716,1010015813.7933838
2011,Alaska,Per Student - Inflation Adjusted,9276.96245942709,7668.83707997612
2011,Alaska,Percent,0.54744908541233706,0.4525509145876629
2012,Alaska,Total - Inflation Adjusted,1198515304.1998913,1083769239.33932
2012,Alaska,Per Student - Inflation Adjusted,9164.99865129519,8287.537389328223
2012,Alaska,Percent,0.5251385030784221,0.47486149692157803
2013,Alaska,Total - Inflation Adjusted,1188065698.4711776,890549768.9096627
2013,Alaska,Per Student - Inflation Adjusted,9062.904288723748,6793.3673023645115
2013,Alaska,Percent,0.5715659092152152,0.4284340907847848
2014,Alaska,Total - Inflation Adjusted,1170919515.9135108,905331540.3657191
2014,Alaska,Per Student - Inflation Adjusted,8969.878492663485,6935.336038420946
2014,Alaska,Percent,0.5639583468134404,0.43604165318655963
2015,Alaska,Total - Inflation Adjusted,1171863518.4527903,1103646736.7416856
2015,Alaska,Per Student - Inflation Adjusted,8962.287604416508,8440.568475525482
2015,Alaska,Percent,0.514989468581894,0.48501053141810607
2016,Alaska,Total - Inflation Adjusted,1191723888.4326084,715400410.9411576
2016,Alaska,Per Student - Inflation Adjusted,8995.699816549886,5400.18869137065
2016,Alaska,Percent,0.6248797920045368,0.37512020799546325
2017,Alaska,Total - Inflation Adjusted,1196718468.502241,695110366.2000697
2017,Alaska,Per Student - Inflation Adjusted,9015.70877396249,5236.751821936628
2017,Alaska,Percent,0.6325720890999406,0.3674279109000594
2018,Alaska,Total - Inflation Adjusted,1155374006.6275342,679775340.4968735
2018,Alaska,Per Student - Inflation Adjusted,8695.388972309038,5116.019102612929
2018,Alaska,Percent,0.6295801937890512,0.37041980621094883
2019,Alaska,Total - Inflation Adjusted,1154084272.0441139,679211559.546261
2019,Alaska,Per Student - Inflation Adjusted,8812.291823067966,5186.28552214065
2019,Alaska,Percent,0.6295133859501949,0.3704866140498051
2020,Alaska,Total - Inflation Adjusted,1134107000,700218000
2020,Alaska,Per Student - Inflation Adjusted,8590.61,5304
2020,Alaska,Percent,0.6182692425336156,0.3817307574663844
2002,Arizona,Total - Inflation Adjusted,4588668153.459088,875335755.3666348
2002,Arizona,Per Student - Inflation Adjusted,5338.556368215423,1018.3813296738293
2002,Arizona,Percent,0.8398000140835152,0.16019998591648477
2003,Arizona,Total - Inflation Adjusted,4706782295.519787,924121928.1892595
2003,Arizona,Per Student - Inflation Adjusted,5305.557276018387,1041.684424979784
2003,Arizona,Percent,0.8358839202836772,0.16411607971632275
2004,Arizona,Total - Inflation Adjusted,5028123052.067007,1191282616.8582423
2004,Arizona,Per Student - Inflation Adjusted,5391.800023806349,1277.4450844405042
2004,Arizona,Percent,0.8084573195756624,0.19154268042433767
2005,Arizona,Total - Inflation Adjusted,5157082600.970265,1234832702.6251955
2005,Arizona,Per Student - Inflation Adjusted,5388.636128325508,1290.2825628847156
2005,Arizona,Percent,0.8068126559793595,0.1931873440206405
2006,Arizona,Total - Inflation Adjusted,5323216211.75123,1364052727.4382684
2006,Arizona,Per Student - Inflation Adjusted,5299.678551690246,1358.022503337155
2006,Arizona,Percent,0.7960223067823573,0.20397769321764264
2007,Arizona,Total - Inflation Adjusted,5462415048.167183,1506209990.212481
2007,Arizona,Per Student - Inflation Adjusted,5632.139537067883,1553.0117190684523
2007,Arizona,Percent,0.7838581730980076,0.2161418269019923
2008,Arizona,Total - Inflation Adjusted,5606760339.730448,1584112925.5494037
2008,Arizona,Per Student - Inflation Adjusted,5678.695202672379,1604.4362136840762
2008,Arizona,Percent,0.7797051677413326,0.22029483225866742
2009,Arizona,Total - Inflation Adjusted,5607562978.298258,1615960404.7605653
2009,Arizona,Per Student - Inflation Adjusted,5711.972176722491,1646.0410794497889
2009,Arizona,Percent,0.7762927271068715,0.22370727289312844
2010,Arizona,Total - Inflation Adjusted,5608487713.924759,1432918269.9809494
2010,Arizona,Per Student - Inflation Adjusted,5817.727650552332,1486.383102107907
2010,Arizona,Percent,0.7965004704280327,0.20349952957196735
2011,Arizona,Total - Inflation Adjusted,5433298635.80896,1269535487.4133024
2011,Arizona,Per Student - Inflation Adjusted,5739.978100876223,1341.1945821960712
2011,Arizona,Percent,0.8105971083854193,0.18940289161458068
2012,Arizona,Total - Inflation Adjusted,5294018541.740732,1239189890.413683
2012,Arizona,Per Student - Inflation Adjusted,5615.582486085689,1314.462069820943
2012,Arizona,Percent,0.8103241531541673,0.1896758468458327
2013,Arizona,Total - Inflation Adjusted,4655479472.057047,1324550351.4628272
2013,Arizona,Per Student - Inflation Adjusted,4943.5590110624025,1406.5080774762075
2013,Arizona,Percent,0.7785050050865057,0.2214949949134944
2014,Arizona,Total - Inflation Adjusted,4727781056.510092,1519912652.4167085
2014,Arizona,Per Student - Inflation Adjusted,5008.579490061236,1610.1867699339116
2014,Arizona,Percent,0.7567240318386629,0.24327596816133706
2015,Arizona,Total - Inflation Adjusted,4589059676.695747,1451025756.0931566
2015,Arizona,Per Student - Inflation Adjusted,4856.257833966538,1535.5135131787679
2015,Arizona,Percent,0.7597671396889754,0.2402328603110246
2016,Arizona,Total - Inflation Adjusted,4598153088.079826,1466579265.4602768
2016,Arizona,Per Student - Inflation Adjusted,4900.648964981378,1563.0553655826693
2016,Arizona,Percent,0.7581796311146752,0.2418203688853248
2017,Arizona,Total - Inflation Adjusted,4715314622.238807,1502578903.3412867
2017,Arizona,Per Student - Inflation Adjusted,5036.934227992435,1605.0712926119932
2017,Arizona,Percent,0.7583453841414558,0.24165461585854422
2018,Arizona,Total - Inflation Adjusted,4662386936.025858,1507841660.7786596
2018,Arizona,Per Student - Inflation Adjusted,5069.776023237679,1639.5971107457133
2018,Arizona,Percent,0.7556258866508627,0.2443741133491372
2019,Arizona,Total - Inflation Adjusted,4896429115.2559185,1589585566.7191715
2019,Arizona,Per Student - Inflation Adjusted,5239.150516425507,1700.8428118973407
2019,Arizona,Percent,0.7549215494262767,0.24507845057372332
2020,Arizona,Total - Inflation Adjusted,5029804000,1600797000
2020,Arizona,Per Student - Inflation Adjusted,5371.82,1709.65
2020,Arizona,Percent,0.7585741378555583,0.24142586214444178
2002,Arkansas,Total - Inflation Adjusted,2601798598.2629933,584592037.2461005
2002,Arkansas,Per Student - Inflation Adjusted,5792.578995193156,1301.5209413327368
2002,Arkansas,Percent,0.8165347326682693,0.18346526733173074
2003,Arkansas,Total - Inflation Adjusted,2657004546.910987,591300872.1433707
2003,Arkansas,Per Student - Inflation Adjusted,5902.722991976986,1313.6204618665286
2003,Arkansas,Percent,0.8179659171894211,0.18203408281057878
2004,Arkansas,Total - Inflation Adjusted,2726384292.6573024,623216366.9427692
2004,Arkansas,Per Student - Inflation Adjusted,6012.337335057957,1374.336216222511
2004,Arkansas,Percent,0.8139438264488794,0.18605617355112058
2005,Arkansas,Total - Inflation Adjusted,2961777043.544601,713091081.1567553
2005,Arkansas,Per Student - Inflation Adjusted,6415.754301291079,1544.6833061815337
2005,Arkansas,Percent,0.8059549760516292,0.19404502394837067
2006,Arkansas,Total - Inflation Adjusted,3021256076.8711495,778830018.062023
2006,Arkansas,Per Student - Inflation Adjusted,6392.722946874254,1647.9336418719163
2006,Arkansas,Percent,0.7950498664277753,0.2049501335722247
2007,Arkansas,Total - Inflation Adjusted,3082323217.0903716,800168267.1131535
2007,Arkansas,Per Student - Inflation Adjusted,6495.496629448537,1686.2285654444618
2007,Arkansas,Percent,0.7939030552508657,0.2060969447491342
2008,Arkansas,Total - Inflation Adjusted,3062870956.035883,805907946.7401881
2008,Arkansas,Per Student - Inflation Adjusted,6433.119187645263,1692.6958228420663
2008,Arkansas,Percent,0.7916891018737885,0.2083108981262115
2009,Arkansas,Total - Inflation Adjusted,3064790102.2915807,803017496.3376987
2009,Arkansas,Per Student - Inflation Adjusted,6460.039734350298,1692.6177626558786
2009,Arkansas,Percent,0.7923845367872449,0.20761546321275517
2010,Arkansas,Total - Inflation Adjusted,3109725476.3737416,857770747.8536717
2010,Arkansas,Per Student - Inflation Adjusted,6548.213500147353,1806.227327157246
2010,Arkansas,Percent,0.7838003327219698,0.21619966727803022
2011,Arkansas,Total - Inflation Adjusted,3126311745.9447618,863576293.576304
2011,Arkansas,Per Student - Inflation Adjusted,6574.07865194261,1815.9464139199595
2011,Arkansas,Percent,0.7835588809729898,0.2164411190270102
2012,Arkansas,Total - Inflation Adjusted,3026018040.958499,836724492.5687803
2012,Arkansas,Per Student - Inflation Adjusted,6361.577190210213,1759.0379201374617
2012,Arkansas,Percent,0.783386123312751,0.21661387668724894
2013,Arkansas,Total - Inflation Adjusted,2994969378.15775,826360742.964383
2013,Arkansas,Per Student - Inflation Adjusted,6269.345755396497,1729.815918399948
2013,Arkansas,Percent,0.783750349231413,0.21624965076858713
2014,Arkansas,Total - Inflation Adjusted,2977355462.235466,871069964.5536598
2014,Arkansas,Per Student - Inflation Adjusted,6204.3625704501055,1815.1825344590595
2014,Arkansas,Percent,0.7736551748617393,0.22634482513826068
2015,Arkansas,Total - Inflation Adjusted,2981004006.9384804,850013885.5704731
2015,Arkansas,Per Student - Inflation Adjusted,6214.538595604712,1772.0340117079786
2015,Arkansas,Percent,0.7781233454153459,0.22187665458465416
2016,Arkansas,Total - Inflation Adjusted,2971389372.3424597,848766146.7953728
2016,Arkansas,Per Student - Inflation Adjusted,6201.024552695548,1771.2986065453083
2016,Arkansas,Percent,0.7778190157166214,0.22218098428337868
2017,Arkansas,Total - Inflation Adjusted,2948347400.237924,837670169.2309994
2017,Arkansas,Per Student - Inflation Adjusted,6155.268181196226,1748.8068050639972
2017,Arkansas,Percent,0.7787461773700306,0.22125382262996943
2018,Arkansas,Total - Inflation Adjusted,2946325960.3768563,836026143.6083286
2018,Arkansas,Per Student - Inflation Adjusted,6138.706576643836,1741.871042350528
2018,Arkansas,Percent,0.778966577506687,0.22103342249331298
2019,Arkansas,Total - Inflation Adjusted,2922378712.6024895,828799988.9932723
2019,Arkansas,Per Student - Inflation Adjusted,6131.232057186284,1738.8458756213327
2019,Arkansas,Percent,0.7790560791815428,0.2209439208184571
2020,Arkansas,Total - Inflation Adjusted,2921696000,835419000
2020,Arkansas,Per Student - Inflation Adjusted,6132.03,1753.37
2020,Arkansas,Percent,0.777643493037766,0.222356506962234
2002,California,Total - Inflation Adjusted,43807871025.631355,11000054776.974731
2002,California,Per Student - Inflation Adjusted,7134.21426951184,1791.3836599127435
2002,California,Percent,0.799298189983757,0.20070181001624285
2003,California,Total - Inflation Adjusted,44448393816.92721,12416888801.033474
2003,California,Per Student - Inflation Adjusted,7180.032568261399,2005.773759058025
2003,California,Percent,0.781644235945551,0.218355764054449
2004,California,Total - Inflation Adjusted,43145713602.10015,13026716147.22101
2004,California,Per Student - Inflation Adjusted,6901.595820615518,2083.760669342902
2004,California,Percent,0.7680937120667826,0.23190628793321752
2005,California,Total - Inflation Adjusted,42876652424.29056,14275126798.114239
2005,California,Per Student - Inflation Adjusted,6823.498729590506,2271.7841434011475
2005,California,Percent,0.7502239155038062,0.24977608449619382
2006,California,Total - Inflation Adjusted,43007496215.20587,14191368783.25449
2006,California,Per Student - Inflation Adjusted,6874.804641151123,2268.5048705661616
2006,California,Percent,0.7518945555043237,0.24810544449567626
2007,California,Total - Inflation Adjusted,45137467394.30803,14351049155.016607
2007,California,Per Student - Inflation Adjusted,7243.3335782928,2302.9536176094493
2007,California,Percent,0.7587592358840834,0.2412407641159166
2008,California,Total - Inflation Adjusted,45859159374.44846,15205748791.003332
2008,California,Per Student - Inflation Adjusted,7410.076007055327,2456.9885495715307
2008,California,Percent,0.7509909319564162,0.24900906804358375
2009,California,Total - Inflation Adjusted,45020368762.8077,14605346361.616304
2009,California,Per Student - Inflation Adjusted,7301.52434522264,2368.7347723459206
2009,California,Percent,0.7550495034778859,0.2449504965221142
2010,California,Total - Inflation Adjusted,42569572656.17055,14682827295.353695
2010,California,Per Student - Inflation Adjusted,6931.710856373016,2390.843890502587
2010,California,Percent,0.7435419844218277,0.2564580155781722
2011,California,Total - Inflation Adjusted,40460108913.758865,14561393873.401104
2011,California,Per Student - Inflation Adjusted,6523.080624667977,2347.6316891462448
2011,California,Percent,0.7353502620651653,0.2646497379348347
2012,California,Total - Inflation Adjusted,39056522095.08862,14654963190.681528
2012,California,Per Student - Inflation Adjusted,6296.352682797671,2362.5426837315176
2012,California,Percent,0.7271542634798561,0.2728457365201439
2013,California,Total - Inflation Adjusted,38428561435.19258,14396495216.786905
2013,California,Per Student - Inflation Adjusted,6189.436083042177,2318.7480911095117
2013,California,Percent,0.7274685122409561,0.27253148775904384
2014,California,Total - Inflation Adjusted,39464238906.93075,14364560345.026787
2014,California,Per Student - Inflation Adjusted,6339.957130567813,2307.6803699322095
2014,California,Percent,0.7331432579361964,0.26685674206380355
2015,California,Total - Inflation Adjusted,41982406968.79733,16252608565.318842
2015,California,Per Student - Inflation Adjusted,6742.508266211625,2610.2262205549237
2015,California,Percent,0.7209130416085041,0.2790869583914958
2016,California,Total - Inflation Adjusted,44763738791.593834,18730759247.459507
2016,California,Per Student - Inflation Adjusted,7200.201194292212,3012.8209655078485
2016,California,Percent,0.7050020142552172,0.29499798574478275
2017,California,Total - Inflation Adjusted,45629411970.53682,20563437654.92301
2017,California,Per Student - Inflation Adjusted,7365.114521439824,3319.1792975391404
2017,California,Percent,0.6893403201208169,0.3106596798791832
2018,California,Total - Inflation Adjusted,45421339854.75241,19678495660.135853
2018,California,Per Student - Inflation Adjusted,7312.326899658045,3168.013831325325
2018,California,Percent,0.6977184318101773,0.30228156818982266
2019,California,Total - Inflation Adjusted,45127436418.046616,23509710056.888294
2019,California,Per Student - Inflation Adjusted,7927.118083251406,4129.737367722714
2019,California,Percent,0.6574780725774517,0.3425219274225484
2020,California,Total - Inflation Adjusted,45143674000,22182215000
2020,California,Per Student - Inflation Adjusted,8002.08,3931.98
2020,California,Percent,0.6705245323050161,0.3294754676949839
2002,Colorado,Total - Inflation Adjusted,4842839671.740347,900103251.384452
2002,Colorado,Per Student - Inflation Adjusted,6528.2394733436395,1213.3502727898315
2002,Colorado,Percent,0.8432685904861029,0.15673140951389708
2003,Colorado,Total - Inflation Adjusted,5115080542.954083,981113064.0540729
2003,Colorado,Per Student - Inflation Adjusted,6806.383665496977,1305.5105597948816
2003,Colorado,Percent,0.8390621815895398,0.16093781841046018
2004,Colorado,Total - Inflation Adjusted,5063785734.585373,1033353804.4841003
2004,Colorado,Per Student - Inflation Adjusted,6693.215606536196,1365.8622165389086
2004,Colorado,Percent,0.8305187955093184,0.16948120449068155
2005,Colorado,Total - Inflation Adjusted,5078742578.874543,1090448604.8891497
2005,Colorado,Per Student - Inflation Adjusted,6630.6045597548255,1423.642986293688
2005,Colorado,Percent,0.823243204513606,0.17675679548639403
2006,Colorado,Total - Inflation Adjusted,5079308324.760304,1156081768.9366927
2006,Colorado,Per Student - Inflation Adjusted,6516.534582182124,1483.2049380332248
2006,Colorado,Percent,0.8145933459101806,0.18540665408981938
2007,Colorado,Total - Inflation Adjusted,5212715075.279748,1218965025.3390296
2007,Colorado,Per Student - Inflation Adjusted,6591.41679227581,1541.3651710457982
2007,Colorado,Percent,0.8104750406444844,0.1895249593555156
2008,Colorado,Total - Inflation Adjusted,5294060992.709652,1783335111.3546605
2008,Colorado,Per Student - Inflation Adjusted,6641.09198190463,2237.0930512934374
2008,Colorado,Percent,0.7480236058464306,0.2519763941535694
2009,Colorado,Total - Inflation Adjusted,5504646007.629858,1291275616.6220174
2009,Colorado,Per Student - Inflation Adjusted,6775.660886914877,1589.4323108490785
2009,Colorado,Percent,0.8099922770407454,0.19000772295925455
2010,Colorado,Total - Inflation Adjusted,5624041961.250244,1344474481.5068455
2010,Colorado,Per Student - Inflation Adjusted,6810.528967633452,1628.1101279099764
2010,Colorado,Percent,0.8070648466563991,0.1929351533436008
2011,Colorado,Total - Inflation Adjusted,5412521187.590475,1357108480.5291
2011,Colorado,Per Student - Inflation Adjusted,6483.371526297131,1625.6057621452876
2011,Colorado,Percent,0.7995301128217199,0.20046988717828013
2012,Colorado,Total - Inflation Adjusted,5196836399.963085,1343024502.3181357
2012,Colorado,Per Student - Inflation Adjusted,6163.812051770243,1592.9183695372735
2012,Colorado,Percent,0.7946404885798825,0.20535951142011746
2013,Colorado,Total - Inflation Adjusted,5199368918.500492,1392632013.5972328
2013,Colorado,Per Student - Inflation Adjusted,6109.259563305569,1636.341504112656
2013,Colorado,Percent,0.7887392482688133,0.21126075173118664
2014,Colorado,Total - Inflation Adjusted,5367931897.681379,1464559197.7135098
2014,Colorado,Per Student - Inflation Adjusted,6204.045070067109,1692.6821280676966
2014,Colorado,Percent,0.7856476378635056,0.2143523621364944
2015,Colorado,Total - Inflation Adjusted,5525540838.736985,1530014123.5195193
2015,Colorado,Per Student - Inflation Adjusted,6334.309845388462,1753.9563580148965
2015,Colorado,Percent,0.783148042620448,0.21685195737955207
2016,Colorado,Total - Inflation Adjusted,5709805269.013271,1695571239.216196
2016,Colorado,Per Student - Inflation Adjusted,6483.422861885236,1925.2996882383281
2016,Colorado,Percent,0.7710354127203262,0.2289645872796738
2017,Colorado,Total - Inflation Adjusted,5775031668.679182,1685813587.6692073
2017,Colorado,Per Student - Inflation Adjusted,6521.837204212374,1903.8117414529004
2017,Colorado,Percent,0.7740456843466816,0.22595431565331836
2018,Colorado,Total - Inflation Adjusted,5779512939.176404,1806646606.0475996
2018,Colorado,Per Student - Inflation Adjusted,6497.411862308896,2031.056182901002
2018,Colorado,Percent,0.7618498220156004,0.23815017798439964
2019,Colorado,Total - Inflation Adjusted,6100268855.306912,2115856381.6543162
2019,Colorado,Per Student - Inflation Adjusted,6855.108644955386,2377.6752435301673
2019,Colorado,Percent,0.7424747213572898,0.2575252786427102
2020,Colorado,Total - Inflation Adjusted,6380407000,2221767000
2020,Colorado,Per Student - Inflation Adjusted,7159.45,2493.04
2020,Colorado,Percent,0.7417205301429993,0.2582794698570006
2002,Connecticut,Total - Inflation Adjusted,5256024521.497936,1428304182.375434
2002,Connecticut,Per Student - Inflation Adjusted,9565.968816727602,2599.5185215248794
2002,Connecticut,Percent,0.7863202312207339,0.21367976877926606
2003,Connecticut,Total - Inflation Adjusted,5284951908.106731,1448451115.9949749
2003,Connecticut,Per Student - Inflation Adjusted,9535.831961331593,2613.4936507091675
2003,Connecticut,Percent,0.7848857019587138,0.21511429804128615
2004,Connecticut,Total - Inflation Adjusted,5355406061.380541,1551676432.1133168
2004,Connecticut,Per Student - Inflation Adjusted,9590.134650085547,2778.6424672150883
2004,Connecticut,Percent,0.7753502677860931,0.22464973221390702
2005,Connecticut,Total - Inflation Adjusted,5465215368.741523,1852746286.8740218
2005,Connecticut,Per Student - Inflation Adjusted,9782.403766431924,3316.308824282733
2005,Connecticut,Percent,0.7468217734135506,0.2531782265864494
2006,Connecticut,Total - Inflation Adjusted,5487132781.6127615,1990711081.3403068
2006,Connecticut,Per Student - Inflation Adjusted,9861.104040416183,3577.566558019089
2006,Connecticut,Percent,0.7337856797802871,0.2662143202197129
2007,Connecticut,Total - Inflation Adjusted,5530605334.750039,1983514266.416232
2007,Connecticut,Per Student - Inflation Adjusted,9947.198183950477,3567.498996800776
2007,Connecticut,Percent,0.7360281958901823,0.26397180410981774
2008,Connecticut,Total - Inflation Adjusted,5544764709.557643,2135680791.4840043
2008,Connecticut,Per Student - Inflation Adjusted,10057.56044122371,3873.8822090120175
2008,Connecticut,Percent,0.7219324440210455,0.2780675559789545
2009,Connecticut,Total - Inflation Adjusted,5634245688.579626,2216496378.26191
2009,Connecticut,Per Student - Inflation Adjusted,10301.681209174325,4052.650869534063
2009,Connecticut,Percent,0.7176705368586733,0.2823294631413267
2010,Connecticut,Total - Inflation Adjusted,5714471423.572157,2248950699.524969
2010,Connecticut,Per Student - Inflation Adjusted,10521.32966799065,4140.7056163254365
2010,Connecticut,Percent,0.7175899841985287,0.28241001580147135
2011,Connecticut,Total - Inflation Adjusted,5665153450.771979,2333135307.865258
2011,Connecticut,Per Student - Inflation Adjusted,10686.309585603138,4401.0413044609095
2011,Connecticut,Percent,0.7082959535753047,0.2917040464246952
2012,Connecticut,Total - Inflation Adjusted,5515313797.155393,2508436870.95672
2012,Connecticut,Per Student - Inflation Adjusted,10556.613093898795,4801.2880334295005
2012,Connecticut,Percent,0.6873734246871828,0.31262657531281723
2013,Connecticut,Total - Inflation Adjusted,5527684595.298504,2449529993.168849
2013,Connecticut,Per Student - Inflation Adjusted,10675.084986098414,4730.536969510097
2013,Connecticut,Percent,0.6929343727152855,0.3070656272847144
2014,Connecticut,Total - Inflation Adjusted,5547919580.31546,2732346985.6503916
2014,Connecticut,Per Student - Inflation Adjusted,10855.239560053873,5346.202828366434
2014,Connecticut,Percent,0.6700168602156351,0.329983139784365
2015,Connecticut,Total - Inflation Adjusted,5639377878.568208,2817155024.0250196
2015,Connecticut,Per Student - Inflation Adjusted,11158.99972606293,5574.483123897757
2015,Connecticut,Percent,0.6668665349658004,0.33313346503419955
2016,Connecticut,Total - Inflation Adjusted,5725377077.427921,2834035655.3179736
2016,Connecticut,Per Student - Inflation Adjusted,11462.352020485065,5673.818409414226
2016,Connecticut,Percent,0.6688981104252725,0.3311018895747275
2017,Connecticut,Total - Inflation Adjusted,5709858777.190859,2825520220.700645
2017,Connecticut,Per Student - Inflation Adjusted,11510.099818569528,5695.766166429505
2017,Connecticut,Percent,0.6689637027630362,0.3310362972369638
2018,Connecticut,Total - Inflation Adjusted,5734255894.968998,3110618497.202088
2018,Connecticut,Per Student - Inflation Adjusted,11664.713088372497,6327.6707294720745
2018,Connecticut,Percent,0.6483139314093339,0.3516860685906659
2019,Connecticut,Total - Inflation Adjusted,5733952234.647424,3103377319.2840858
